11/26-13:24:53.301302, 17, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:53.361053, 24, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:53.442349, 32, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:53.462888, 34, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:53.639125, 52, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:53.639235, 53, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:53.777212, 68, TCP, raw, 936, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:53.855313, 76, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:53.914102, 82, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:53.994232, 90, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.013881, 93, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.033041, 94, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.093566, 101, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.231649, 114, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.251723, 117, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.271407, 119, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.349828, 126, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.368580, 128, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.389150, 135, TCP, raw, 232, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.389269, 137, TCP, raw, 232, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.389422, 141, TCP, raw, 232, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.389551, 144, TCP, raw, 232, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.389655, 147, TCP, raw, 232, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.391690, 150, TCP, raw, 232, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.392260, 153, TCP, raw, 1352, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.447119, 160, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:24:54.486623, 163, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.684375, 183, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.703096, 185, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.763270, 191, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.901921, 205, TCP, raw, 88, C2S, 192.168.122.1:46226, 192.168.122.106:22, 1:1000045:1, allow
11/26-13:24:54.902049, 206, TCP, raw, 88, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:25:03.581916, 217, TCP, raw, 1208, S2C, 192.168.122.106:22, 192.168.122.1:46226, 1:1000045:1, allow
11/26-13:25:40.582261, 237, TCP, raw, 60, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:40.582425, 239, TCP, raw, 52, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:40.582660, 240, TCP, raw, 494, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:40.582660, 241, TCP, stream_tcp, 408, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:40.613203, 244, TCP, raw, 52, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:40.612938, 245, TCP, stream_tcp, 5793, S2C, 192.168.122.106:80, 192.168.122.1:54490, 1:1000022:1, allow
11/26-13:25:40.612938, 245, TCP, stream_tcp, 5793, S2C, 192.168.122.106:80, 192.168.122.1:54490, 1:1000045:1, allow
11/26-13:25:40.612957, 245, TCP, stream_tcp, 641, S2C, 192.168.122.106:80, 192.168.122.1:54490, 1:1000045:1, allow
11/26-13:25:40.613203, 245, TCP, raw, 52, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:43.867142, 249, TCP, stream_tcp, 557, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:44.100971, 251, TCP, raw, 52, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:44.108433, 252, TCP, raw, 440, S2C, 192.168.122.106:22, 192.168.122.1:53100, 1:1000045:1, allow
11/26-13:25:44.110720, 255, TCP, stream_tcp, 456, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:25:44.138469, 258, TCP, stream_tcp, 5635, S2C, 192.168.122.106:80, 192.168.122.1:54490, 1:1000045:1, allow
11/26-13:25:44.138485, 258, TCP, stream_tcp, 1558, S2C, 192.168.122.106:80, 192.168.122.1:54490, 1:1000022:1, allow
11/26-13:25:44.138485, 258, TCP, stream_tcp, 1558, S2C, 192.168.122.106:80, 192.168.122.1:54490, 1:1000045:1, allow
11/26-13:25:44.138658, 258, TCP, raw, 52, C2S, 192.168.122.1:54490, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:52:57.706971, 1213, TCP, raw, 60, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:52:57.707187, 1215, TCP, raw, 52, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:52:57.708516, 1216, TCP, raw, 460, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:52:57.708516, 1217, TCP, stream_tcp, 374, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:52:57.740754, 1220, TCP, raw, 52, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:52:57.740754, 1221, TCP, raw, 52, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:00.733519, 1224, TCP, stream_tcp, 551, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:01.022533, 1226, TCP, raw, 52, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:01.037175, 1232, TCP, stream_tcp, 450, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:01.068720, 1235, TCP, raw, 52, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.071899, 1240, TCP, raw, 52, C2S, 192.168.122.1:42266, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.187731, 1242, TCP, raw, 60, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.187926, 1244, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.188061, 1245, TCP, raw, 536, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.188061, 1246, TCP, stream_tcp, 450, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.191546, 1248, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383195, 1250, TCP, stream_tcp, 426, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383694, 1255, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383694, 1256, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383694, 1257, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383694, 1258, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383694, 1259, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383779, 1262, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
11/26-13:53:06.383779, 1263, TCP, raw, 52, C2S, 192.168.122.1:51066, 192.168.122.106:80, 1:4000032:1, allow
